lig_1,lig_2,freenrg,error,engine
ejm_31,ejm_45,-0.6815,0.1253,SOMD
ejm_44,ejm_43,-1.862,0.1226,SOMD
jmc_30,jmc_28,0.7222,0.1216,SOMD
ejm_54,ejm_42,1.011,0.1522,SOMD
jmc_23,ejm_46,0.0412,0.0726,SOMD
ejm_55,ejm_42,0.7495,0.0542,SOMD
jmc_27,jmc_23,0.0737,0.0939,SOMD
ejm_42,ejm_54,-1.9956,0.1292,SOMD
jmc_28,jmc_27,-1.2956,0.0615,SOMD
jmc_28,jmc_30,0.0522,0.1255,SOMD
jmc_23,jmc_27,0.3,0.0868,SOMD
ejm_54,ejm_55,0.8791,0.1146,SOMD
ejm_55,ejm_54,-1.2747,0.1173,SOMD
ejm_46,jmc_23,-0.7743,0.0653,SOMD
ejm_42,ejm_55,-0.0174,0.0603,SOMD
jmc_27,jmc_28,0.7787,0.0528,SOMD
ejm_46,ejm_55,-1.7631,4.8163,SOMD
ejm_55,ejm_49,19.4508,2.6946,SOMD
ejm_55,ejm_47,-2.2159,0.2105,SOMD
ejm_49,ejm_55,-2.3961,0.2142,SOMD
ejm_47,ejm_55,-0.8251,5.1947,SOMD
ejm_48,ejm_31,-1.5025,0.2385,SOMD
ejm_55,ejm_48,4.3956,0.1785,SOMD
ejm_31,ejm_48,-1.4354,0.2229,SOMD
ejm_47,ejm_31,0.8352,1.1236,SOMD
ejm_55,ejm_46,3.3364,0.1584,SOMD
ejm_31,ejm_47,-0.0301,0.698,SOMD
jmc_27,ejm_46,0.2565,0.1894,SOMD
ejm_42,ejm_44,2.3386,0.2483,SOMD
ejm_43,ejm_44,1.83,0.1246,SOMD
ejm_44,ejm_42,-1.2556,0.2703,SOMD
ejm_31,ejm_50,-0.1487,0.0868,SOMD
ejm_46,jmc_27,-0.1915,0.1903,SOMD
ejm_43,ejm_42,-0.3614,0.1097,SOMD
ejm_42,ejm_31,0.5459,0.1058,SOMD
ejm_42,ejm_43,-0.5152,0.1241,SOMD
ejm_42,ejm_50,0.2756,0.0483,SOMD
ejm_31,ejm_42,-0.5708,0.1135,SOMD
jmc_27,jmc_30,0.2917,0.0901,SOMD
ejm_50,ejm_42,-0.3795,0.0518,SOMD
jmc_30,jmc_27,-0.4739,0.0875,SOMD
ejm_31,ejm_46,-1.55,1.9611,SOMD
ejm_46,ejm_31,1.0481,0.2921,SOMD
